date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:40:15	2405641/2405641	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:40:09%20GMT	https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/?_encoding=UTF8&pd_rd_w=Ls5F0&content-id=amzn1.sym.64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_p=64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_r=JD7Q0HZFW4CND0TFT631&pd_rd_wg=nl6a8&pd_rd_r=e0a2d8dd-a3da-4314-9d32-3e596d3d5be2&ref_=pd_hp_d_btf_crs_zg_bs_3760911	C:/My%20Web%20Sites/amazon/www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/index92d2.html	(from https://www.amazon.com/)
08:40:17	13029/13029	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jul%202021%2007:23:43%20GMT	https://m.media-amazon.com/images/I/51jcdwTt7nS._AC_SY400_.jpg	C:/My%20Web%20Sites/amazon/m.media-amazon.com/images/I/51jcdwTt7nS._AC_SY400_.jpg	(from https://www.amazon.com/)
08:40:18	2452619/2452619	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:40:13%20GMT	https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/?_encoding=UTF8&pd_rd_w=Ls5F0&content-id=amzn1.sym.64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_p=64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_r=JD7Q0HZFW4CND0TFT631&pd_rd_wg=nl6a8&pd_rd_r=e0a2d8dd-a3da-4314-9d32-3e596d3d5be2&ref_=pd_hp_d_btf_crs_zg_bs_3760911	C:/My%20Web%20Sites/amazon/www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/index92d2.html	(from https://www.amazon.com/)
08:40:19	2310925/2310925	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:40:13%20GMT	https://www.amazon.com/Mielle-Rosemary-Mint-Scalp-Strengthening/dp/B07N7PK9QK/?_encoding=UTF8&pd_rd_w=Ls5F0&content-id=amzn1.sym.64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_p=64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_r=JD7Q0HZFW4CND0TFT631&pd_rd_wg=nl6a8&pd_rd_r=e0a2d8dd-a3da-4314-9d32-3e596d3d5be2&ref_=pd_hp_d_btf_crs_zg_bs_3760911	C:/My%20Web%20Sites/amazon/www.amazon.com/Mielle-Rosemary-Mint-Scalp-Strengthening/dp/B07N7PK9QK/index92d2.html	(from https://www.amazon.com/)
08:40:20	2325465/2325465	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:40:14%20GMT	https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/?_encoding=UTF8&pd_rd_w=Ls5F0&content-id=amzn1.sym.64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_p=64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_r=JD7Q0HZFW4CND0TFT631&pd_rd_wg=nl6a8&pd_rd_r=e0a2d8dd-a3da-4314-9d32-3e596d3d5be2&ref_=pd_hp_d_btf_crs_zg_bs_3760911	C:/My%20Web%20Sites/amazon/www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/index92d2.html	(from https://www.amazon.com/)
08:40:21	9722/9722	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Apr%202024%2019:34:06%20GMT	https://m.media-amazon.com/images/I/61bLRVPWH7L._AC_SY400_.jpg	C:/My%20Web%20Sites/amazon/m.media-amazon.com/images/I/61bLRVPWH7L._AC_SY400_.jpg	(from https://www.amazon.com/)
08:40:23	2357413/2357413	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:40:17%20GMT	https://www.amazon.com/Amazon-Basics-Cotton-Rounds-Count/dp/B09542G9ZN/?_encoding=UTF8&pd_rd_w=Ls5F0&content-id=amzn1.sym.64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_p=64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_r=JD7Q0HZFW4CND0TFT631&pd_rd_wg=nl6a8&pd_rd_r=e0a2d8dd-a3da-4314-9d32-3e596d3d5be2&ref_=pd_hp_d_btf_crs_zg_bs_3760911	C:/My%20Web%20Sites/amazon/www.amazon.com/Amazon-Basics-Cotton-Rounds-Count/dp/B09542G9ZN/index92d2.html	(from https://www.amazon.com/)
08:40:24	2277675/2277675	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:40:18%20GMT	https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/?_encoding=UTF8&pd_rd_w=Ls5F0&content-id=amzn1.sym.64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_p=64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_r=JD7Q0HZFW4CND0TFT631&pd_rd_wg=nl6a8&pd_rd_r=e0a2d8dd-a3da-4314-9d32-3e596d3d5be2&ref_=pd_hp_d_btf_crs_zg_bs_3760911	C:/My%20Web%20Sites/amazon/www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/index92d2.html	(from https://www.amazon.com/)
08:40:25	2462308/2462308	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2005:40:19%20GMT	https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/?_encoding=UTF8&pd_rd_w=Ls5F0&content-id=amzn1.sym.64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_p=64be5821-f651-4b0b-8dd3-4f9b884f10e5&pf_rd_r=JD7Q0HZFW4CND0TFT631&pd_rd_wg=nl6a8&pd_rd_r=e0a2d8dd-a3da-4314-9d32-3e596d3d5be2&ref_=pd_hp_d_btf_crs_zg_bs_3760911	C:/My%20Web%20Sites/amazon/www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/index92d2.html	(from https://www.amazon.com/)
08:40:27	24435/24435	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Oct%202023%2018:09:07%20GMT	https://m.media-amazon.com/images/I/71Nqkdjq52L._AC_SY400_.jpg	C:/My%20Web%20Sites/amazon/m.media-amazon.com/images/I/71Nqkdjq52L._AC_SY400_.jpg	(from https://www.amazon.com/)
